name,TotalExposedSasa,TotalBSA,InterfaceHydrophobicSasa,InterfacePolarSasa,InteractionScore,FaAtrInteraction,FaRepInteraction,FaSolInteraction,FaElecInteraction,HBondBbScInteraction,HBondScInteraction,GenBonded,HBInterface,TotalPackStat,InterfaceUnsat,SideFlexAlpha,SideFlexBeta,SideFlexOther,BackFlexAlpha,BackFlexBeta,BackFlexOther,PiPi,TStacking,CationPi,SaltBridge,TotalElec,TotalHBond,TotalHphobics,6.6,6.7,6.8,6.9,6.15,6.16,6.17,6.35,6.53,7.6,7.7,7.8,7.9,7.15,7.16,7.17,7.35,7.53,8.6,8.7,8.8,8.9,8.15,8.16,8.17,8.35,8.53,16.6,16.7,16.8,16.9,16.15,16.16,16.17,16.35,16.53,FCsp3,NumHAcceptors,NumHDonors,MolLogP,TPSA,VdwSA
actives_best/mini_1a28_model0_chainB_STR_resi2__chainB.pdb,-0.1840057341798089,701.4000000000015,0.8464464921734945,0.1535535078265054,-36.06820207232033,-37.320398989863634,12.820608860657783,-1.9204432183960307,-2.1790528930147843,0.0,-1.58594862097204,5.090077998965966,1.0,0.031511,7.0,422,32,18,25,1,0,0,0,0,0,-51305.77520561695,1,26,4918,1062,1104,127,0,0,0,0,447,100,106,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8095238095238095,2,0,4.723500000000005,34.14,395.7952909294096
actives_best/mini_1a6v_model0_chainH_NPC_altA_resi432__chainI_altA_chainM_altB.pdb,-0.0519478711775203,594.8000000000011,0.6368493718197905,0.3631506281802095,-23.787336596602927,-25.50193952433324,4.7204310646353065,6.557934134178368,-3.280292922758804,0.0,-3.415020983081593,19.02327383044656,2.0,0.0134679999999999,6.0,0,124,142,0,0,2,0,0,0,0,-292682.66590545094,6,32,1825,474,463,0,351,91,86,1,900,224,228,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4285714285714285,4,4,1.4955,126.94,380.6757415914592
actives_best/mini_1a9u_model0_chainA_SB2_resi800__chainA.pdb,-0.021131932053156,647.2000000000007,0.7414203613535144,0.2585796386464856,-30.784102202994973,-30.858528016407035,9.34608359377006,3.3162314809890177,-4.277781288244114,-2.3039540997263828,-1.614635002549079,1.1954884759860438,2.0,0.0057809999999999,0.0,11,229,76,0,37,7,0,0,0,0,-111058.58252444705,2,36,3143,804,885,29,450,122,131,6,58,18,25,0,218,43,48,1,0,0,0,0,70,20,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0476190476190476,3,1,4.682200000000003,58.64,433.5744128839511
actives_best/mini_1afe_model0_chainH_ALZ_resi600__chainH.pdb,-0.1376642195518338,796.5,0.5671998051683392,0.4328001948316607,-27.89799687124309,-33.24686442889538,5.727227644853713,13.372525997216826,-3.956453406575178,-4.134600229289312,-1.3053707313459526,5.6868371257229695,4.0,0.011117,2.0,0,11,303,0,14,76,0,0,0,2,-102408.26900438603,4,21,2507,629,753,54,688,182,223,17,442,111,139,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5294117647058824,5,3,1.1473000000000009,96.69,452.60175521886976
actives_best/mini_1aj7_model0_chainH_NPE_resi217__chainL_chainH.pdb,-0.0793667633260248,589.7999999999993,0.7333292643789956,0.2666707356210044,-27.770961810830386,-33.714508109593226,10.640261827621089,10.935086957241763,-7.495546060818356,-1.062926701121583,-0.4997478079149147,3.40728938064107,2.0,0.008409,5.0,0,135,194,0,3,21,0,0,1,2,-11845.645957726976,2,30,2107,530,521,14,260,61,56,3,1295,314,322,8,0,0,0,0,192,50,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3636363636363636,5,3,2.3052999999999995,124.14000000000004,338.2841140066176
actives_best/mini_1az8_model0_chainA_IN4_resi1__chainA.pdb,-0.124155490730919,790.8099999999995,0.5375624378816951,0.4624375621183049,-26.18229935822933,-35.59046537760173,4.242713825016438,23.914969166325704,-6.901378949426544,-2.3679277761290365,-4.0657665841493,16.267243600902095,6.0,0.0036649999999999,7.0,0,69,188,0,35,65,0,0,0,0,-158185.49296088572,4,8,2561,742,948,72,532,160,186,12,255,71,90,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,4,4,2.5342400000000005,126.04,454.1415948311543
actives_best/mini_1bgq_model0_chainA_RDC_resi300__chainA.pdb,-0.192829818951445,724.1000000000004,0.7681287558419929,0.231871244158007,-29.778310238661103,-28.45600688538116,5.677146015327139,4.307935283334132,-6.241739607079239,0.0,-2.048789248325047,6.096973244986399,1.0,0.0055129999999999,4.0,149,106,30,20,12,0,0,0,0,0,87548.67538859152,1,20,3065,786,969,18,0,0,0,0,1060,267,328,6,0,0,0,0,0,0,0,0,0,0,0,0,209,51,60,1,0,0,0,0,0,0,0,0,0.3333333333333333,6,2,2.691600000000001,96.36,402.4560488498645
actives_best/mini_1bl7_model0_chainA_SB4_resi800__chainA.pdb,-0.1594444653982423,769.3000000000029,0.6826543730463291,0.3173456269536708,-33.16795576480263,-31.7807799151974,7.425656275823258,4.683394022834818,-6.576184087060369,-3.45458390289042,0.0,15.030186694351332,2.0,0.003942,3.0,16,198,135,0,28,16,0,0,0,0,-55590.16654946017,3,28,3148,825,907,29,935,270,285,11,0,0,0,0,218,42,52,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2777777777777778,6,2,2.6529,81.64999999999999,415.3475321029338
actives_best/mini_1bmk_model0_chainA_SB5_resi800__chainA.pdb,-0.1276026008789978,674.2999999999993,0.650346931784692,0.3496530682153079,-34.03912826214298,-31.15440430977651,8.491062510132451,6.478953044152604,-7.651140931127884,-4.029192974635464,-1.718644156230333,18.79848530724469,3.0,0.011718,1.0,16,277,40,0,62,14,0,0,0,0,-88415.15869691054,3,29,2822,708,780,28,757,208,228,10,0,0,0,0,217,44,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2352941176470588,5,1,3.1384000000000016,69.62,384.06682802989775
actives_best/mini_1c1b_model0_chainA_GCA_resi999__chainA.pdb,-0.2009828212751903,814.7999999999993,0.89133292198388,0.1086670780161199,-46.894905060536985,-43.06638968301149,10.8633540217985,-5.088151325101308,-2.207556338082441,-1.1654949905004912,0.0,13.947966149887469,1.0,0.0096619999999999,0.0,0,508,22,0,54,4,0,0,0,0,-110968.2943302016,1,52,3836,882,898,8,412,102,96,0,602,148,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4736842105263157,4,1,2.8616400000000013,64.09,439.78916951986014
